SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/cuda	DS4_CUDA_COPY_MODEL	nonempty-string opt-in (but mere presence also suppresses prefetch); default off; value 0 is nonempty and requests a full copy	Copy the complete mapped model image into device memory.	ds4_cuda.cu:2740
runtime/cuda	DS4_CUDA_COPY_MODEL_CHUNKED	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Use range-by-range model prefetch/copy preparation instead of the normal bulk preparation.	ds4_cuda.cu:37740
runtime/cuda	DS4_CUDA_DECODE_GRAPHS	boolean, default on; any value starting with 0, or exact off/no/false in listed case variants, disables; oracle flags force off; effective only on one GPU	Control CUDA Graph capture and replay for decode.	ds4_cuda.cu:1468
runtime/cuda	DS4_CUDA_DECODE_GRAPH_LOG	presence diagnostic flag; default off; any defined value including 0 enables	Log CUDA decode-graph cache misses, capture failures, and lifecycle events.	ds4_cuda.cu:1580
runtime/cuda	DS4_CUDA_DECODE_HEADS8_ONLINE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Force the eight-head online CUDA decode-attention kernel when eligible.	ds4_cuda.cu:371
runtime/cuda	DS4_CUDA_DECODE_SCORE4	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select four score lanes in the CUDA decode-attention fallback kernel.	ds4_cuda.cu:372
runtime/cuda	DS4_CUDA_DECODE_SCORE8	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Select eight score lanes in the CUDA decode-attention fallback kernel.	ds4_cuda.cu:373
runtime/cuda	DS4_CUDA_DIRECT_MODEL	mixed presence/nonempty flag, default off; any defined value bypasses host caching, while backend direct lookup requires nonempty; value 0 therefore still changes behavior	Use the mapped model directly and bypass selective CUDA weight caching.	ds4.c:3058; ds4_cuda.cu:1250
runtime/cuda	DS4_CUDA_DISABLE_BATCH_INDEXER_QUERY_PRUNE	presence rollback; unset prunes unused zero-prefix indexer query work on eligible resident CUDA prefills; any value including 0 disables	Restore transient indexer Q projection, RoPE, QAT, and weight projection before compressed rows exceed top-k.	ds4.c:30137
runtime/cuda	DS4_CUDA_DISABLE_DSPARK_EXACTN	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Disable the CUDA DSpark exactn optimization.	ds4.c:52534
runtime/cuda	DS4_CUDA_DISABLE_DSPARK_EXACTN_BATCH_HEAD	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Disable the CUDA DSpark exactn batch head optimization.	ds4.c:37300
runtime/cuda	DS4_CUDA_DISABLE_DSPARK_EXACTN_GRAPHS	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Disable the CUDA DSpark exactn graphs optimization.	ds4.c:37266
runtime/cuda	DS4_CUDA_DISABLE_DSPARK_NONCAUSAL_ONLINE	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Disable the noncausal online-attention DSpark experiment.	ds4_cuda.cu:21691
runtime/cuda	DS4_CUDA_DISABLE_HC_NORM_MIX_FUSE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable fused HC RMSNorm-plus-mix.	ds4_cuda.cu:20905
runtime/cuda	DS4_CUDA_DISABLE_HC_SPLIT_NORM_FUSED	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the fused HC split/weighted-sum/norm kernel.	ds4_cuda.cu:31785
runtime/cuda	DS4_CUDA_DISABLE_IQ2_XXS_SSD_PREFILL_MMQ	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Disable the CUDA IQ2 XXS SSD prefill MMQ optimization/path.	ds4_cuda.cu:4627
runtime/cuda	DS4_CUDA_DISABLE_Q4_ATTN_OUT_HC_FUSE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable fused Q4 attention-output/HC expansion.	ds4_cuda.cu:37357
runtime/cuda	DS4_CUDA_DISABLE_Q4_ATTN_Q_B_F16_CACHE	value-aware rollback; unset/empty/0/false/no/off keeps the experiment available, any other nonempty value disables it	Disable the resident Q4_K attn_q_b-to-F16 prefill cache even when ENABLE or REQUIRE is set.	ds4_cuda.cu:2502
runtime/cuda	DS4_CUDA_DISABLE_Q4_ATTN_Q_B_TRANSIENT_F16	value-aware rollback; unset/empty/0/false/no/off keeps the automatic transient path eligible, any other nonempty value disables it	Disable per-layer transient Q4_K attn_q_b-to-F16 scratch for physically device-resident single-GPU model images; the existing resident-cache controls remain independent and otherwise eligible calls use native Q4.	ds4_cuda.cu:2514
runtime/cuda	DS4_CUDA_DISABLE_Q4_DENSE_PAIR	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q4 dense pair CUDA Q4 optimization.	ds4_cuda.cu:20402
runtime/cuda	DS4_CUDA_DISABLE_Q4_GROUPED_ATTN_A_SINGLE_GRID	value-aware authoritative rollback; unset/empty/exact 0 permits the opt-in, every other nonempty value disables it and makes REQUIRE fail closed	Restore the established one-MMQ-launch-per-group grouped attention-A prefill path instead of mapping the groups to grid.z.	ds4_cuda.cu:41943
runtime/cuda	DS4_CUDA_DISABLE_Q4_GROUPED_MMVQ_FUSION	presence rollback; default on inside eligible NVIDIA grouped Q4 MMVQ; any defined value including empty or 0 disables	Derive the weight group from grid.y and sanitize at store, removing the ids producer, output clear and standalone sanitizer; preserves existing GB10/scratch gates and batch opt-in; dense epilogue, grouped prefill and HIP are independent.	cuda/mmq/ds4_mmq.cu:5179
runtime/cuda	DS4_CUDA_DISABLE_Q4_MMVQ_EPILOGUE	presence rollback; unset enables eligible NVIDIA Turing+ dense Q4_K N=1..8 MMVQ; any defined value including empty or 0 disables	Fuse nonfinite-to-zero sanitization into canonical dense matvec stores and skip output pre-clear plus the separate sanitizer on complete four-row cohorts with bounded weight/column indices; shared-pair legs qualify independently; persistent K1024, grouped/MoE, N>8 prefill and HIP remain unchanged.	cuda/mmq/ds4_mmq.cu:4709
runtime/cuda	DS4_CUDA_DISABLE_Q4_PREFILL_DEQUANT_VEC	presence rollback; unset permits aligned single-GB10 transient Q4 q_b prefill outside quality and SSD; any defined value including 0 disables; read at CUDA init	Restore scalar Q4_K-to-F16 transient weight expansion instead of aligned vector loads/stores and flat block addressing; no change to persistent sidecar prewarm, GEMM, epilogue, Q8 or decode; GPU validation pending.	ds4_cuda.cu:367
runtime/cuda	DS4_CUDA_DISABLE_Q8_HC_EXPAND_FUSED	false-like-aware flag, default off; 0/false/no/off is off, other nonempty values request split; force-fused wins	Request the split Q8 shared-down/HC path when safe.	ds4_cuda.cu:2086
runtime/cuda	DS4_CUDA_DISABLE_Q8_PREFILL_TILED	presence rollback; unset permits single-GB10 N256..8192 K256..16384 prefill tiling outside quality; any defined value including 0 disables; read at CUDA init	Restore previous raw Q8_0 prefill producer dispatch without changing decode; candidate uses eight quantization blocks per CTA and the legacy shared reduction; global Q8 quant warp rollback takes precedence.	ds4_cuda.cu:362
runtime/cuda	DS4_CUDA_DISABLE_Q8_QUANT_WARP_REDUCE	presence rollback; any defined value including 0 disables warp reduction and prefill tiling; read at CUDA init	Restore the original shared-memory reduction and grid in raw Q8_0 ordinary/group-slice activation quantizers and the Q8_0 phase of the dual Q8_K/Q8_0 producer; preserves stream, rounding and Q8_K signed-max semantics; no effect on MMQ Q8_1 or ROCm.	ds4_cuda.cu:360
runtime/cuda	DS4_CUDA_DISABLE_QKV_RMS_FUSED	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA QKV RMS fused optimization/path.	ds4_cuda.cu:369; ds4.c:17428
runtime/cuda	DS4_CUDA_DISABLE_SHARED_GATE_UP_PAIR	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA shared gate up pair optimization/path.	ds4_cuda.cu:24293
runtime/cuda	DS4_CUDA_DISABLE_STREAMING_EXPERT_PERSISTENT_CACHE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Disable streaming expert persistent cache in CUDA SSD streaming.	ds4_cuda.cu:4113
runtime/cuda	DS4_CUDA_DISABLE_STREAMING_PREFILL_BATCH_SELECTED_ADDR	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable streaming prefill batch selected addr in CUDA SSD streaming.	ds4.c:18592
runtime/cuda	DS4_CUDA_DISABLE_STREAMING_PREFILL_BATCH_SELECTED_LOAD	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable streaming prefill batch selected load in CUDA SSD streaming.	ds4.c:21917
runtime/cuda	DS4_CUDA_DISABLE_STREAMING_SELECTED_BATCH_IO	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Disable streaming selected batch I/O in CUDA SSD streaming.	ds4_cuda.cu:4734
runtime/cuda	DS4_CUDA_DISABLE_STREAMING_SELECTED_EVENT_PIPELINE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Disable streaming selected event pipeline in CUDA SSD streaming.	ds4_cuda.cu:4866
runtime/cuda	DS4_CUDA_DISABLE_STREAMING_SELECTED_SHARED_OVERLAP	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable streaming selected shared overlap in CUDA SSD streaming.	ds4.c:20969
runtime/cuda	DS4_CUDA_DSPARK_DEVICE_PROPOSER	value-aware opt-in, default off; 0/off/no/false (lowercase only) disable; other nonempty enables unless rollback set	Enable the CUDA-resident DSpark proposer.	ds4.c:34889; ds4_cuda.cu:19035
runtime/cuda	DS4_CUDA_DSPARK_EXACT2	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable the exact two-draft CUDA DSpark support path.	ds4.c:52247
runtime/cuda	DS4_CUDA_DSPARK_EXACTN	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable the exact multi-draft CUDA DSpark support path.	ds4.c:52268
runtime/cuda	DS4_CUDA_DSPARK_EXACTN_BATCH_HEAD	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable the batched output-head stage for exact-N DSpark verification.	ds4.c:37283
runtime/cuda	DS4_CUDA_DSPARK_EXACTN_GRAPHS	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable CUDA Graph capture for stable exact-N DSpark islands.	ds4.c:37249
runtime/cuda	DS4_CUDA_DSPARK_NO_DEVICE_PROPOSER	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the CUDA-resident DSpark proposer.	ds4.c:34899; ds4_cuda.cu:19040
runtime/cuda	DS4_CUDA_DSPARK_NO_PADDED_HEAD	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable the padded CUDA output-head optimization used by DSpark.	ds4.c:34247
runtime/cuda	DS4_CUDA_DSPARK_NO_Q_NORM_ROPE_FUSION	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Disable fused Q RMSNorm plus RoPE in DSpark support stages.	ds4.c:33623
runtime/cuda	DS4_CUDA_DSPARK_PROPOSER_BLOCK_MAX	integer 0..UINT32_MAX; 0/invalid keeps native size; unset uses auto caps for exact-N/exact2; positive values cap the block and are limited by DS4_DSPARK_MAX_BLOCK_SIZE	Cap the CUDA DSpark proposal block length.	ds4.c:52354
runtime/cuda	DS4_CUDA_DSPARK_TINY_ALIGNED_VEC	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Use aligned routed-MoE vector kernels for tiny DSpark batches.	ds4_cuda.cu:29523
runtime/cuda	DS4_CUDA_ENABLE_DSPARK_NONCAUSAL_ONLINE	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Enable the small-batch noncausal online-attention DSpark experiment.	ds4_cuda.cu:21690
runtime/cuda	DS4_CUDA_ENABLE_HC_NORM_MIX_FUSE	nonempty opt-in, default off; only exact 0 disables; the F32/F16 activation mode follows the selected standalone matmul path; disable/serial/alternate flags can veto	Enable and select the fused HC RMSNorm-plus-mix one-token implementation.	ds4_cuda.cu:20902
runtime/cuda	DS4_CUDA_ENABLE_IQ2_XXS_SSD_PREFILL_MMQ	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Enable the CUDA IQ2 XXS SSD prefill MMQ experimental path.	ds4_cuda.cu:4625
runtime/cuda	DS4_CUDA_ENABLE_Q4_ATTN_OUT_HC_FUSE	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Opt in to the fused Q4 attention-output/HC expansion path.	ds4_cuda.cu:37375
runtime/cuda	DS4_CUDA_ENABLE_Q4_ATTN_Q_B_F16_CACHE	value-aware persistent-cache opt-in, default off; unset/empty/0/false/no/off is off; DISABLE cancels an optional persistent request but leaves the automatic transient path independent; REQUIRE plus DISABLE fails closed	Prewarm and use persistent resident F16 sidecars for eligible single-GPU Q4_K attn_q_b prefills.	ds4_cuda.cu:2490
runtime/cuda	DS4_CUDA_ENABLE_Q4_ATTN_Q_B_F16_OUTPUT	value-aware experimental opt-in; unset/empty/0/false/no/off keeps the release F32 projection boundary; other nonempty values enable	Write eligible resident Q4_K attn_q_b GEMM output in F16 and run the half-input norm/RoPE epilogue; SSD remains excluded.	ds4_cuda.cu:2523
runtime/cuda	DS4_CUDA_ENABLE_Q4_GROUPED_ATTN_A_BATCH	value-aware opt-in, default off; nonempty value other than exact 0 enables; rollback wins	Enable flattened grouped attention-A MMQ for two-to-eight-token GB10 batches.	cuda/mmq/ds4_mmq.cu:4303
runtime/cuda	DS4_CUDA_ENABLE_Q4_GROUPED_ATTN_A_PREFILL	value-aware compatibility switch, default on; unset/empty uses the default, exact 0 opts out, any other nonempty value requests the path; REQUIRE also requests it; local/global rollback wins	Control direct-strided grouped Q4_K attention-A MMQ for GB10 prefill widths above eight tokens, removing per-group pack/unpack copies while preserving the per-group reduction tree.	ds4_cuda.cu:41928
runtime/cuda	DS4_CUDA_ENABLE_Q4_GROUPED_ATTN_A_SINGLE_GRID	value-aware opt-in, default off; unset/empty/exact 0 is off, every other nonempty value requests the candidate; REQUIRE also requests it; DISABLE wins	Submit all eligible GB10 grouped Q4_K attention-A prefill projections in one grid.z launch while isolating each group's stream-K coordinates and fixup storage.	ds4_cuda.cu:41941
runtime/cuda	DS4_CUDA_ENABLE_Q4_K1024_PERSISTENT	presence flag, default off; any defined value including 0 requests the path; rollback wins	Enable the GB10 persistent-CTA kernel for M=32768, N=1, K=1024 Q4.	cuda/mmq/ds4_mmq.cu:3905
runtime/cuda	DS4_CUDA_ENABLE_Q8_FOLD	strict flag, default off; only exact value 1 enables; overridden by DS4_CUDA_NO_Q8_FOLD	Enable one-shot producer-to-consumer reuse of freshly quantized Q8_1 data.	ds4_cuda.cu:785
runtime/cuda	DS4_CUDA_ENABLE_STREAMING_EXPERT_PERSISTENT_CACHE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Enable streaming expert persistent cache in CUDA SSD streaming.	ds4_cuda.cu:4111
runtime/cuda	DS4_CUDA_ENABLE_STREAMING_SELECTED_BATCH_IO	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Enable streaming selected batch I/O in CUDA SSD streaming.	ds4_cuda.cu:4732
runtime/cuda	DS4_CUDA_ENABLE_STREAMING_SELECTED_EVENT_PIPELINE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Enable streaming selected event pipeline in CUDA SSD streaming.	ds4_cuda.cu:4864
runtime/cuda	DS4_CUDA_END_STREAM_SYNC	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Synchronize only CUDA stream 0 at command-batch end instead of synchronizing the whole device.	ds4_cuda.cu:376
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_CHUNK	integer scores/chunk; default 512; clamped 1..8192	Tune exact score split chunk for exact score-split CUDA decode attention.	ds4_cuda.cu:13669
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_DECODE	value-aware boolean, default on; exact 0 disables; a nonzero explicit setting also takes precedence over split-KV selection	Control the exact score-split decode-attention implementation.	ds4_cuda.cu:13631
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_DIM2	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split dim2 for exact score-split CUDA decode attention.	ds4_cuda.cu:387
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_FUSE_INV_ROPE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split fuse inv rope for exact score-split CUDA decode attention.	ds4_cuda.cu:390
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_GRAPH	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split graph for exact score-split CUDA decode attention.	ds4_cuda.cu:379
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_LDG	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split ldg for exact score-split CUDA decode attention.	ds4_cuda.cu:381
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_MIN_SCORE	integer score count; default 1; clamped 0..8192	Set the minimum visible-score count for exact score-split decode.	ds4_cuda.cu:13665
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_S	integer exact split count; unset/invalid = automatic; valid value clamped 1..16	Tune exact score split s for exact score-split CUDA decode attention.	ds4_cuda.cu:13679
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_S_FLOOR	integer split count; default 6; clamped 1..16	Tune exact score split s floor for exact score-split CUDA decode attention.	ds4_cuda.cu:13672
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_S_MAX	integer split count; default 16; clamped 1..16	Tune exact score split s max for exact score-split CUDA decode attention.	ds4_cuda.cu:13675
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_VEC4	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split vec4 for exact score-split CUDA decode attention.	ds4_cuda.cu:383
runtime/cuda	DS4_CUDA_EXACT_SCORE_SPLIT_VEC4_PLAIN	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Tune exact score split vec4 plain for exact score-split CUDA decode attention.	ds4_cuda.cu:385
runtime/cuda	DS4_CUDA_F16_CUBLAS_ONE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the F16 cuBLAS one CUDA F16 matmul path.	ds4_cuda.cu:20852
runtime/cuda	DS4_CUDA_F16_SMALL_BATCH	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the F16 small batch CUDA F16 matmul path.	ds4_cuda.cu:20837
runtime/cuda	DS4_CUDA_F16_SMALL_OUT	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the F16 small out CUDA F16 matmul path.	ds4_cuda.cu:20819
